spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_30
9174.5,5261.4,5956.9,5499.9,5276.1,4773.3,8162.2,5426.1,7554,4270.1,7921.6,2163.6,7099,6326,6426.3,2826.7,6846.8,6365.8,7589.2,8115.2,4778.5,6816.7,8723.5,6001.9,6630.2,4662.3,5415,6286.4,5088.4
7756.5,5421.9,6960.9,5040.9,6653.7,5754.2,8632.3,6470.7,6566.1,5050.1,7584.4,3019.8,6540,4676.5,5383.5,3309.5,6886.6,5910.6,6743.6,8182.6,4820.6,6975.8,9495.2,4665.9,6631.2,4432.2,4359.4,4298.2,3681.7
7034.5,3902.5,6341.4,5538.3,6971.3,5290.4,8041.6,7383.2,6989.1,4737.1,8487.4,3207.9,7455.8,5357.4,5370.1,4439.7,7088.4,5445.4,6382.4,6857.5,4362.2,5896.7,7355.1,5365.6,5993.1,5718,3518.2,6298,4094
6760.5,3165,5907,5824.3,6059.5,5997,7703.4,6249.2,6759,4828.8,7485,4379.9,7626.7,5796,6316.9,3045,8686,7406.1,5416.3,7712.8,2891.6,5167.8,7422.6,5726,7574.6,3384.5,2648.4,3753.1,5100.4
5872.3,3682,6941.5,5158.2,6821.3,5267.7,7219.6,8536.8,4598.9,3632.8,7359.8,2167.4,7452.2,4550.8,6207.4,2527.4,7753.3,7463.5,5612.3,7116.5,2665.4,5557.1,9272,5058,7682.4,4033.2,3791,5326.4,5880.4
6111.2,3390,5959.3,6425.8,6298.1,5153.4,8460.6,7001.4,5146.2,4116.4,8628.6,4482.9,7154,6599.2,6273.9,4512.8,8935.8,5699.5,3660.8,9064.3,2295.1,4742.9,8522.8,4066.4,6086.9,2976.4,3395.6,6172.6,6416.9
4794.5,3309.6,5502.5,6598.2,6690.9,6596.1,6759,7626.9,4690.4,5521.3,8761.6,3769.4,5287.6,6086.9,6829.9,3712.7,9172.9,5074.8,3202.4,7134,2009.3,4492.8,8622.3,5075.2,5750.6,4478.4,3167.3,4706.6,6508
6114.4,3845.8,4143.9,5539.1,6304.2,5557.4,7541.8,7437,4246.9,5760.2,7955.6,3220.6,6382.8,5280.6,5273.4,3308.1,7819.8,5140.6,2622.9,7140.7,2784,4942.7,6972.7,3161.5,6291.7,4937.4,5028.9,5433.6,4431.5
5240.4,3549.9,5937,7269.3,7353,6817,8224,6330.4,4863.1,4660.6,7130.6,3666.7,7908.4,6321.9,5290.8,4811.3,7586.8,5168.2,2947,6644.6,2350.7,5549.8,9160.3,4890.4,6123.5,4407.4,3764.6,5513.7,5601.3
4720.9,4921,6282.8,5635.4,5927.5,6943.4,6222.6,7257.9,3999,4043,7149.7,4204.7,7728,4946.8,5752,4356.3,8027.3,5356.2,3554,5706.8,3560.9,5476.9,7620,2903,6676.9,5715.4,6279.3,5134.9,4974.3
5168.1,3757,7549.5,6346.4,6446.5,6219,6803.7,7360,4420.4,5275.1,6140.4,3207,6851.3,5220.8,4699.7,4554.1,6487.2,4673.6,4166.3,6298.7,3024.1,4128.1,8829.5,3234.9,5142.7,4439.3,6133.5,5503.9,4336.1
5593,2822.4,6537.3,7034.5,6576.8,6457.8,6268.9,6862.8,4179.7,4354.2,5553.9,3365.3,6195.7,5726.4,5430.8,3648.1,7588,4767.4,4497,4190.4,4066.1,5821.6,6830.9,2728.7,5981.4,3754.1,6934.9,5477,3449.1
6500,3397.3,5049,7534.4,7804.6,7018.1,8063.4,5525.7,4400.9,4760.5,5628.4,4782.7,6437,5011.8,6198.8,2519,7359.9,4875.4,4968.2,4257.4,3846,6023.5,6450.3,4419.5,6044.3,3467.5,7183.9,5566.3,3556.2
7294.2,2454.8,7137,7674,6043.5,5553.8,4686.6,7090.1,4916.5,5816.8,5148.2,4290.1,5323.8,4537.8,6486.4,3557.9,6996.8,4205,4775.1,4764.7,5108.4,4287.5,5559.7,3797.3,6444.2,3651.1,5087.8,5862.1,2545.5
7814.6,3453.8,6454.7,7234,6609.1,5519.2,6383.3,6158.9,4689.4,4738.1,3554.6,4972,5601.4,4083,6583.4,3940.8,6516.4,4621.5,5889.3,2046.2,4763.4,4873.5,6603.2,3728.8,5157.9,3056.7,7318.2,5618.6,2774.6
8101.2,2641.4,4697.2,7319.5,4921.8,5551.4,5474.5,4531.1,4313.8,5703.7,3502.8,3576.5,4662,4534.9,6391.1,4243.1,6828.6,5118.4,4832.1,2439.3,4892.7,2614.5,5894.5,5013,5953.4,3703,6077.6,6266.6,2185.6
