spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,spot_16,spot_17,spot_18,spot_19,spot_20,spot_21,spot_22,spot_23,spot_24,spot_25,spot_26,spot_27,spot_28,spot_30,spot_31,spot_32,spot_33,spot_34,spot_35,spot_36,spot_37
7551.9,0,5514.6,9982.9,2464.5,5420.3,7352.3,5941.3,0,4598.2,4839.4,5788.1,9461.3,3228.3,7000,8099.2,7928.1,5962.3,4425.1,0,7938.5,5584.9,2939.2,2220.4,5794.5,9407.8,10294,2427.2,3245.5,0,6304.5,4998.6,8205.2,7740.5,8522.2,6508.1
6495.9,0,5959,9274.2,2604.4,4673.9,7608.3,5536,0,3563.4,5594,5089.9,9911.4,3183.6,10032,7250.9,9598.1,4410.1,3526.2,0,7497.4,5337.5,3012.3,1914.1,5579.5,6505.4,9428.8,0,4607,0,6835.3,5550.8,8423.6,9443.6,9260,7873
7540.4,0,3059.8,10643,3671.1,5018,8331.4,5567.7,0,5347.6,5294.1,8082.3,8911.6,3888.2,10056,6711.3,10004,4722.1,4217.2,0,7279.3,6462.7,2489.9,3393,7158.1,6315.4,9614.9,52.316,4479.1,0,6786.8,4301.5,9967,6375.4,8563.5,8892.3
6464.7,0,3563,9724,0,5359.9,8570.6,4428.1,0,3836,4771.5,6926.9,8983.3,4338.5,9956.9,6779.7,9259.8,5048.7,3454.7,0,6820.2,6502.9,2116.2,6874.9,8030,5816.9,8276,0,3885.2,3243.3,4734.1,4172.3,9922.8,5897.8,8115.3,8455.4
4576.7,0,4490.1,8842.9,0,3678.3,8462.2,7190.9,0,3360.5,6159.7,7466.6,9373.6,4111.3,9277.4,6841.5,10345,6578.9,4139.8,0,7765.2,6480.3,3341.4,3783.1,6954.6,3756.8,9544.7,767.21,4964.7,3420,5769.4,3815.3,9677.1,5963.3,9622.9,9560.4
5674.5,0,2590.4,9088.6,4016.9,3277.5,7806.2,6473.8,0,2582.7,5723.2,7884.2,10727,4028.4,8847.1,7740.6,11104,7339,5829.4,1504.6,8182.7,6317.2,2726.7,8970.9,7490.5,3146.6,7912.8,0,4621.9,3898.8,4898.1,3969.8,7321.4,4383.8,9656.8,9237
5387.4,0,2934.2,5986.6,1733.3,5108,5805.3,6354.3,0,2850.6,3889,7605.9,9001.6,4513.2,8015.7,7845.2,9654.3,5783,5168.6,2792.4,7103.8,7066.7,2804.3,7632.9,6059.9,4225.7,9506.5,0,4861,4564.2,5271.3,5878.4,7542,4077.1,8417,7848.8
5605.2,0,2892.8,6856,2173.8,2766.6,6505.7,6359.6,0,2208.2,5031,6983.8,9927.8,3765.4,10211,6844.2,9004,7844.2,6364.2,2097.6,7018.9,6908,3035.2,6653.2,5905.8,3928.8,10492,0,6077.4,3300.3,4793.1,5074.7,6383.1,4925.3,8718.1,8001.2
7200.6,0,2732,6427.1,0,3109.8,6134.1,6537.1,0,3485.6,6058.6,6777,9262.6,4121.7,9163.8,8272.2,7415.6,7708.2,5422.2,3077.8,6051.2,6932.1,2109,6800.1,4396.1,3080.7,9438.2,0,4664.2,3225.1,4131.3,4358,7202.3,3332.6,9111.2,8789
7591.7,0,0,7919.4,0,0,3051.8,5970.5,0,5187.6,3629.7,6478,7921.6,4668.7,8777.4,8143.1,8076.5,9862.1,6062.3,3680.7,5080.3,6998.3,2340.6,7770.1,5207.5,3387.7,8252.4,1335,7346.1,2633.8,4399.1,6907.4,6811.6,6488,8375.1,8601.9
