Spot_15,Spot_20,Spot_21,Spot_22,Spot_23,Spot_24,Spot_25,Spot_26,Spot_27,Spot_28,Spot_31,Spot_32,Spot_34,Spot_35,Spot_36,Spot_37,Spot_38,Spot_40,Spot_41,Spot_42,Spot_43,Spot_45,Spot_46,Spot_47,Spot_48,Spot_49,Spot_51,Spot_52,Spot_53,Spot_54,Spot_55,Spot_56,Spot_57,Spot_58,Spot_60,Spot_61,Spot_63,Spot_64,Spot_65,Spot_66,Spot_67,Spot_68,Spot_69,Spot_70,Spot_71,Spot_73,Spot_74,Spot_75,Spot_76,Spot_77,Spot_78,Spot_79,Spot_81,Spot_82,Spot_84,Spot_85,Spot_86,Spot_87,Spot_88,Spot_89,Spot_90,Spot_91,Spot_92,Spot_95,Spot_96,Spot_97,Spot_98,Spot_99,Spot_100,Spot_101,Spot_102,Spot_103,Spot_104,Spot_106,Spot_107,Spot_108,Spot_109
0,142419,87754,147384,206692,0,28139,231950,0,30260,72803,202699,92676,46932,166534,0,57224,227616,131477,0,0,42579,130412,49937,114542,27235,166801,118778,46090,235159,80435,89803,0,36807,162521,0,30009,285753,38845,128921,79787,102294,92937,115628,263876,217321,0,66764,189383,124661,54256,144975,0,0,77778,57594,213862,42622,137506,57951,164144,81005,133919,198801,0,186913,119440,260673,130044,239552,144329,123140,257690,77445,0,70301,54798
56907,138787,30289,160379,145521,0,35451,132389,57959,23081,186872,189477,48676,111273,167532,0,65501,278994,0,0,0,97993,39931,43187,131945,79939,205221,201665,102734,210388,41380,60903,0,54320,142149,0,0,193746,78363,105498,36194,138952,102307,142237,172748,179776,82797,50887,135634,55928,89516,96469,0,25297,107616,39746,173160,31111,146131,80566,164045,64425,63060,106534,0,174160,219890,253915,79496,182601,104783,100347,329171,80463,0,44942,76975
97856,197327,90637,113901,176117,0,0,187136,0,0,0,120484,0,47069,180125,0,90149,318828,0,0,0,69811,99251,175541,165199,75053,172964,156317,88861,208395,89369,101820,0,54508,106312,0,38714,249269,102479,52721,45709,115579,88797,71739,185661,192154,62162,128070,82874,36167,0,96529,0,26420,144196,0,183017,71072,121332,115014,162487,33823,62695,111155,0,259984,203091,146323,154646,169388,81765,171777,276051,126147,0,123401,0
88470,114911,77062,123497,198328,0,0,60143,33441,31501,76326,147244,0,66049,180277,0,0,234514,0,0,0,82474,39114,161162,167783,95980,66854,163635,174915,131905,124401,142095,0,51949,64115,0,0,305579,33485,116933,67066,85054,75013,142559,205058,210448,67445,98483,161078,57927,36078,73047,33752,69380,149458,0,155081,57187,121506,109177,96835,0,101581,234716,0,227471,165455,256631,148735,169256,115370,211059,396714,106276,0,76967,43945
79853,181027,93618,125784,225074,0,41031,88118,20688,0,99216,73954,41472,96665,167305,0,0,122102,39944,0,0,74580,77757,108642,160689,100855,178049,160260,94585,235175,74566,156706,0,35460,130606,0,0,288083,32282,115515,87341,176331,97513,140420,255383,243527,99225,95533,130568,54652,86348,102364,31972,90727,90128,0,153001,76509,46073,135726,131154,116645,87662,142359,0,250125,190666,249437,172173,37368,101470,234752,279754,137463,0,30047,55103
22280,128505,55364,143255,218481,0,0,230212,24423,25299,107903,130974,42799,75889,227184,21446,0,119191,46569,0,0,98166,89236,92917,127374,69955,172212,172400,58231,252191,73523,166716,0,0,142243,0,0,206511,44375,82294,60369,95144,102845,178877,280670,198869,74463,86303,158438,45648,75674,147534,0,80129,136809,0,180364,45116,215143,104183,139030,116736,107058,216834,0,245169,155036,271494,124976,83728,41163,239267,243787,152196,0,64459,35835
103362,154066,67015,81512,193881,0,121093,132526,45001,0,63345,124644,83492,77507,180772,0,0,175313,96572,0,0,52580,68947,124319,183560,115666,135558,115233,61482,164770,63962,179056,0,43753,59723,0,0,275124,68709,82331,89953,128399,82075,197224,120960,178497,100396,101022,159026,25776,72409,152807,0,49088,111161,62977,226743,81784,100387,176762,72015,95277,179669,167577,0,129927,163629,266951,237043,119059,70450,140571,262451,138297,0,104486,0
104053,177628,94121,134414,252619,0,111500,109857,28226,0,41197,136374,30535,91197,214812,0,0,108746,0,0,0,135987,71790,75501,114322,66223,218455,122072,147313,163297,46931,117482,0,0,123453,0,0,220938,26398,53882,75333,176551,167265,100247,159600,162741,59128,62962,142470,58723,40643,128023,0,114814,49359,74364,234444,75199,185205,82658,108273,62957,81335,133404,0,168257,126935,232183,194650,59374,28626,216492,235960,164665,0,19956,51387
22352,283117,144512,147910,172507,0,73589,233359,183824,0,91304,156896,71291,85726,252053,0,23423,116694,22148,0,0,92669,86577,92048,165101,192365,172450,123469,43684,0,65936,138056,0,56766,117726,0,0,360146,31612,45332,133582,228325,159094,127942,268460,171550,111039,90322,170648,125063,54164,97108,0,76065,84987,67279,98600,112795,185881,96709,97930,67834,105628,165344,0,174457,80761,374183,174264,140938,25706,91422,244470,192263,0,72631,0
39598,233734,139425,140747,179965,0,62685,201112,50972,0,99051,109069,88171,137376,189387,0,35243,121493,240226,0,0,122958,78587,66859,151973,126512,122451,88225,65263,66643,77895,153420,0,0,89785,0,0,316432,33169,26932,60449,122277,130334,0,232901,197542,86334,123843,145733,31900,50508,123910,0,91215,79596,81881,82039,36156,197713,130675,79594,49424,99161,106352,0,121298,110109,255923,178062,157320,45221,117213,188643,216023,0,40614,101163
