Spot_10,Spot_11,Spot_12,Spot_13,Spot_14,Spot_16,Spot_17,Spot_18,Spot_19,Spot_20,Spot_21,Spot_22,Spot_23,Spot_24,Spot_25,Spot_26,Spot_28,Spot_29,Spot_31,Spot_32,Spot_33,Spot_34,Spot_35,Spot_37,Spot_38,Spot_39,Spot_40,Spot_41,Spot_43,Spot_44,Spot_45,Spot_46,Spot_47,Spot_48,Spot_49,Spot_50,Spot_51,Spot_52,Spot_54,Spot_55,Spot_56,Spot_57,Spot_59,Spot_60,Spot_61,Spot_62,Spot_63,Spot_65,Spot_67,Spot_68,Spot_69,Spot_70,Spot_71,Spot_72,Spot_73,Spot_76,Spot_77,Spot_78,Spot_79,Spot_80,Spot_81,Spot_82,Spot_83,Spot_84,Spot_86,Spot_87,Spot_88,Spot_89,Spot_90,Spot_91,Spot_92,Spot_93,Spot_94,Spot_95,Spot_97,Spot_98
0,56582,28830,82436,128595,88651,87469,45451,56644,12624,40159,74333,88459,154018,41177,81037,68770,55942,59314,66662,84213,99256,73441,102391,52127,72195,123477,88193,22427,32807,59241,72100,80227,109896,53023,54107,143946,106552,81015,54062,61377,59829,42842,69266,0,0,108324,105864,105328,97479,0,59438,0,50909,0,0,0,99337,57098,53731,37895,110037,50251,0,38844,57390,90435,0,86337,49015,76790,80219,0,0,77307,94285
0,0,31394,103075,105175,92808,91400,106907,91919,30648,77834,85126,106037,96521,43978,56078,27277,70484,61732,61031,86637,68754,77917,118088,36647,56169,117293,69322,0,21832,51132,28580,106215,79374,0,92028,124385,19476,129706,84175,62384,47640,53309,106737,0,0,121074,92372,83938,56913,0,103417,0,73383,0,0,0,85203,54237,46144,36962,121396,79261,0,68975,51589,74092,0,69020,27323,108399,71095,22407,0,45547,45576
20616,74598,0,129069,142012,94596,121790,71241,49744,53361,107434,75769,84937,145858,46409,96864,53320,53982,63702,92215,92570,81001,54534,100734,93402,83242,95862,64845,11534,96202,59669,40105,55157,82578,0,58909,128271,62606,121185,64527,52230,68370,65321,74289,0,0,61601,112300,97591,109832,0,106207,0,88755,0,0,12702,142899,28932,54920,81399,126630,52805,0,18369,63808,129124,0,61680,32215,63707,142084,0,0,73840,97757
14035,50737,26218,140808,128531,66754,73559,73052,69432,57488,89776,98911,115833,104519,78905,97448,46251,57126,85043,86973,60584,73591,79252,137327,78952,67071,106478,88435,24237,88897,55422,55187,64138,104621,29959,112916,160787,105122,124276,60687,25533,47410,38508,60263,0,0,113353,105374,99238,95171,0,86133,0,70895,0,0,0,104794,40909,79512,59904,125281,63669,19588,0,68670,28010,0,86093,31414,78356,88652,0,0,80270,85990
0,67874,26834,101692,116840,60846,109828,93744,81446,42930,110940,87304,92655,97953,50295,88485,49454,66387,97031,89201,58465,54839,57255,123439,76163,82833,120451,54882,35594,79043,33517,83219,82981,111087,0,74496,125790,96818,96165,42448,41523,103133,43588,80728,23356,0,57337,63593,95050,62522,0,74361,0,36204,0,0,0,114513,66695,44618,67886,102204,78811,0,52673,52615,115618,0,103840,48870,72135,90894,0,0,70238,44279
0,99968,20170,128571,144642,62190,127475,77829,80376,63696,93602,60751,108623,138614,54752,117866,31102,103407,48294,86738,109909,70640,40350,100044,74417,40597,138163,64158,42206,92674,85862,58753,94753,86917,0,65711,168060,108800,120524,74608,35682,75637,38982,81333,27195,0,76235,81903,142824,66064,0,118311,0,65583,0,0,0,101002,46868,48035,82922,108529,75140,13348,21006,56540,55130,12628,114415,36168,87214,111362,0,0,104921,59418
0,65261,20125,86617,111671,96525,90628,46160,49227,98063,118355,70456,125990,142341,64695,103933,65318,51541,92407,98156,83280,61768,81445,58844,90494,33638,137419,57715,49222,104523,58607,115448,96685,75716,0,63591,108170,103151,119617,42855,21794,86163,42699,113683,0,0,59788,68007,112318,102946,0,104670,0,77692,0,0,0,76520,57628,57694,45252,173188,57851,14206,30313,28469,0,0,87431,0,47905,76480,0,0,110457,79305
0,56933,16618,158899,84529,96498,89020,54309,66381,72104,139537,83000,122937,104949,76417,109304,50351,51059,125577,71904,97559,96835,55331,108086,107887,22888,86521,61143,24528,17400,59606,66552,78266,127312,0,79766,104095,62362,109538,72426,46597,74217,40696,72921,0,0,45668,97474,130687,117084,0,132972,0,91334,0,0,0,87425,40948,45474,46670,163419,84151,0,27959,25620,37853,0,69657,0,144759,85425,20058,0,117818,65096
0,59668,21903,98971,114946,142321,77364,93977,97414,92625,100571,63156,85019,92218,63376,122214,44472,93053,80302,62286,85930,99818,71785,132493,82241,46882,109186,92401,0,46769,112862,100703,71293,97238,0,111155,115783,79566,81741,76731,26985,53789,37118,82535,0,0,25175,66785,99060,31043,0,81410,0,53933,0,0,0,81706,59079,54899,46646,133791,107005,32469,28152,28636,62091,0,57246,0,118024,47464,0,0,106675,75100
0,48397,0,94093,115498,117458,120792,63249,71784,107311,113498,105243,130663,122162,81558,99500,50949,38956,104774,66082,81799,55723,32713,121829,90769,31651,75057,69613,0,67996,78060,95503,70159,91836,0,101246,104308,55511,115243,68754,53743,61039,49151,55217,0,0,65321,75763,115944,108237,0,131400,0,106691,0,26358,0,75630,34261,42060,74883,91422,57129,17523,33189,59714,52416,0,93388,0,55684,85573,0,11703,77830,0
0,61628,15707,126009,113037,129892,96017,53924,86140,90225,122979,120271,121701,123804,91361,96304,26927,52925,124954,66899,96021,63922,24682,113265,81210,47141,83545,77754,33820,54805,102605,81700,74614,98669,0,140716,133209,113630,104388,66398,55633,0,16772,51213,0,0,91691,48297,128818,73261,10493,96422,0,137722,0,0,0,51566,47001,47079,27674,103190,58394,23251,40980,80465,88067,0,88214,0,98477,84239,0,0,112983,59767
0,47258,18106,167615,137475,103212,129784,74559,50717,87641,93566,136316,100076,64438,100604,90324,56564,45301,139206,58482,105482,61365,65910,92956,103853,29443,70266,70300,31948,0,89590,87140,78029,99327,0,57982,58773,80810,102932,69383,41372,0,35312,74649,0,0,97312,80957,141053,123483,0,102167,0,119682,0,0,0,58137,47874,0,47413,52019,63974,31839,19549,78536,44354,0,53422,0,100393,58117,0,0,90349,65802
0,66620,33140,124504,140161,107916,79369,50549,41942,127034,115915,46476,114234,126173,107062,90521,91666,76391,111833,92218,93241,66702,47038,52086,75681,48309,78752,90292,27267,44390,102347,94798,75209,89320,0,79068,112666,75734,98334,51959,72769,0,0,47747,0,0,104881,112205,119615,151589,0,108564,0,121163,0,0,10704,33838,42042,22023,41378,85060,78344,0,0,0,45769,0,37172,0,120218,53810,0,0,156600,25124
0,34269,32085,149909,146513,130288,108134,56977,51171,90957,132664,124591,152388,102167,77563,63920,71657,78082,107888,126086,101201,90644,25646,88775,81369,72689,101262,62806,40277,96342,85998,84787,74654,114343,22256,123541,128404,69827,77217,83653,61086,0,28159,0,0,0,100597,73666,136153,126974,0,88541,0,99952,0,0,0,45215,55705,18562,0,125013,94785,35083,35693,0,62872,0,0,0,110337,89617,0,0,149085,60026
0,29419,19508,110744,114082,101305,95750,60104,11973,99768,125423,126556,80302,93665,93801,37405,69353,42452,42600,63209,94189,73643,77354,119927,96039,44908,129380,44695,28023,27314,128943,139363,43453,81788,0,77136,121715,57887,66020,33244,82461,0,34785,36788,0,0,126044,93707,122846,116859,0,134005,0,81652,0,0,0,73246,46097,34198,26202,106967,27626,35311,39232,0,46774,0,0,0,91777,65059,13108,0,123231,48818
0,33872,19797,84625,101937,120529,102790,20012,38657,113727,189030,121112,113348,92459,92230,0,0,90804,102638,59740,95345,58437,52735,65523,130440,46820,120152,57116,20728,41057,109191,145780,73374,119264,0,54366,107283,108886,133054,67251,77419,0,26330,70037,0,0,89346,112628,156844,113570,0,78819,0,100279,0,12264,0,36422,31315,17622,0,85117,78570,24811,46606,0,31611,0,16676,0,71848,97400,0,0,107246,81379
