Spot_10,Spot_12,Spot_13,Spot_14,Spot_17,Spot_18,Spot_19,Spot_20,Spot_22,Spot_23,Spot_26,Spot_28,Spot_30,Spot_31,Spot_32,Spot_34,Spot_35,Spot_36,Spot_37,Spot_39,Spot_40,Spot_42,Spot_43,Spot_44,Spot_46,Spot_47,Spot_48,Spot_49,Spot_50,Spot_52,Spot_54,Spot_55,Spot_57,Spot_58,Spot_59,Spot_60,Spot_61,Spot_63,Spot_65,Spot_66,Spot_67,Spot_68,Spot_69,Spot_70,Spot_71,Spot_75,Spot_76,Spot_77,Spot_79,Spot_80,Spot_81,Spot_82,Spot_85,Spot_86,Spot_87,Spot_88,Spot_89,Spot_91,Spot_92,Spot_94,Spot_95,Spot_97,Spot_98,Spot_99,Spot_101,Spot_102,Spot_103,Spot_117,Spot_118,Spot_120,Spot_122,Spot_135,Spot_137,Spot_142,Spot_143,Spot_148,Spot_149,Spot_151,Spot_152,Spot_162,Spot_163,Spot_165
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9497,0,0,0,0,0,0,0,0,0,0,0,0,9844,0,0,20176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9450,0,0,10134,0,9465,0,0,0,0,9540,0,0,0,0,0,0,0,0,0,0,0,9648,0,0,0,0,0
0,0,22966,0,0,0,0,11690,0,0,0,0,0,0,0,0,10298,0,0,0,0,0,0,0,0,0,0,0,9213,0,0,0,0,11319,0,0,0,0,0,0,0,0,0,0,9754,12557,0,0,0,0,0,12655,0,0,0,0,0,0,0,0,0,0,0,0,0,9251,0,10681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18189,0,0,0,12284,14983,0,0,0,11779,0,0,0,0,0,0,0,0,0,10526,0,0,0,0,0,0,0,0,0,0,0,11087,0,0,0,0,29091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,14821,0,0,0,0,0,0,0,10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,14323,0,0,0,0,0,11871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22380,10190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10627,0,27674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15212,0,0,0,11378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8130,0,0,0,0,0
0,0,21331,0,0,0,0,28579,0,0,0,0,0,0,0,0,0,13431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12833,0,0,0,9890,0,0,14257,0,0,0,0,0
0,0,11267,0,0,0,0,24170,0,0,0,0,0,0,12172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10836,0,0,42841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11406,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12319,0,0,0,0,0,0
0,11599,0,0,0,0,0,48232,0,0,0,0,0,0,0,0,0,0,0,0,0,10335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16241,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15081,0,0,0,0,23109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,49347,0,0,10210,0,0,0,0,0,0,0,0,0,0,0,0,0,26484,0,0,0,0,0,0,0,0,18277,0,0,0,0,24556,0,0,0,0,0,0,0,0,0,0,0,0,9761,0,12423,0,0,0,0,0,11585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17833,0,0,0,0,21918,0,12847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10695,0,0,0,0,0,0,0,14552,20292,0,0,0,0,0,0,11768,0,0,0,0,0,0,0,0,12565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10719,0,0,0,0
0,0,0,0,0,0,0,17422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34876,0,0,0,0,0,0,0,0,0,0,12997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14011,0
0,0,15197,0,0,10638,0,22550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11311,0,0,0,0,0,0,0,15276,0,15777,0,0,18287,0,0,9960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25710,0
0,0,0,0,0,0,0,0,0,0,0,0,11905,0,0,0,0,0,0,0,0,0,0,0,15238,0,0,10228,0,0,0,0,0,0,0,0,0,0,25253,0,0,0,0,0,0,0,0,0,0,16910,0,0,0,0,0,0,0,0,11497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10253,32074,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10376,0,0,11368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10263,0
0,0,0,11000,0,0,0,35089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11754,0,0,0,15144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24702,0
25736,0,0,0,0,0,0,13150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9631,0,0,0,0,0,0,0,0,0,0,0,10609,11529,0,0,0,0,21730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9724,0,20076,0
